,RESULT,NAME_LONG
0,11000,서울특별시
1,11110,서울특별시 종로구
2,11140,서울특별시 중구
3,11170,서울특별시 용산구
4,11200,서울특별시 성동구
5,11215,서울특별시 광진구
6,11230,서울특별시 동대문구
7,11260,서울특별시 중랑구
8,11290,서울특별시 성북구
9,11305,서울특별시 강북구
10,11320,서울특별시 도봉구
11,11350,서울특별시 노원구
12,11380,서울특별시 은평구
13,11410,서울특별시 서대문구
14,11440,서울특별시 마포구
15,11470,서울특별시 양천구
16,11500,서울특별시 강서구
17,11530,서울특별시 구로구
18,11545,서울특별시 금천구
19,11560,서울특별시 영등포구
20,11590,서울특별시 동작구
21,11620,서울특별시 관악구
22,11650,서울특별시 서초구
23,11680,서울특별시 강남구
24,11710,서울특별시 송파구
25,11740,서울특별시 강동구
