SIDONAME,ZSCODE,ZCODE,COUNT
경기도,41000,41,51627
경기도 수원시,41110,41,4297
경기도 수원시 장안구,41111,41,0
경기도 수원시 권선구,41113,41,0
경기도 수원시 팔달구,41115,41,0
경기도 수원시 영통구,41117,41,0
경기도 성남시,41130,41,4010
경기도 성남시 수정구,41131,41,0
경기도 성남시 중원구,41133,41,0
경기도 성남시 분당구,41135,41,0
경기도 의정부시,41150,41,1735
경기도 안양시,41170,41,1455
경기도 안양시 만안구,41171,41,0
경기도 안양시 동안구,41173,41,0
경기도 부천시,41190,41,1795
경기도 광명시,41210,41,761
경기도 평택시,41220,41,2980
경기도 동두천시,41250,41,337
경기도 안산시,41270,41,1617
경기도 안산시 상록구,41271,41,0
경기도 안산시 단원구,41273,41,0
경기도 고양시,41280,41,3921
경기도 고양시 덕양구,41281,41,0
경기도 고양시 일산동구,41285,41,0
경기도 고양시 일산서구,41287,41,0
경기도 과천시,41290,41,225
경기도 구리시,41310,41,682
경기도 남양주시,41360,41,3104
경기도 오산시,41370,41,847
경기도 시흥시,41390,41,2006
경기도 군포시,41410,41,617
경기도 의왕시,41430,41,580
경기도 하남시,41450,41,1430
경기도 용인시,41460,41,5530
경기도 용인시 처인구,41461,41,0
경기도 용인시 기흥구,41463,41,0
경기도 용인시 수지구,41465,41,0
경기도 파주시,41480,41,1728
경기도 이천시,41500,41,792
경기도 안성시,41550,41,702
경기도 김포시,41570,41,2584
경기도 화성시,41590,41,4270
경기도 광주시,41610,41,1033
경기도 양주시,41630,41,1192
경기도 포천시,41650,41,360
경기도 여주시,41670,41,412
경기도 연천군,41800,41,99
경기도 가평군,41820,41,258
경기도 양평군,41830,41,249
