SIDONAME,ZSCODE,ZCODE,COUNT
경상남도,48000,48,10150
경상남도 창원시,48120,48,3019
경상남도 창원시 의창구,48121,48,0
경상남도 창원시 성산구,48123,48,0
경상남도 창원시 마산합포구,48125,48,0
경상남도 창원시 마산회원구,48127,48,0
경상남도 창원시 진해구,48129,48,0
경상남도 진주시,48170,48,1052
경상남도 통영시,48220,48,387
경상남도 사천시,48240,48,273
경상남도 김해시,48250,48,1901
경상남도 밀양시,48270,48,251
경상남도 거제시,48310,48,935
경상남도 양산시,48330,48,1308
경상남도 의령군,48720,48,44
경상남도 함안군,48730,48,107
경상남도 창녕군,48740,48,139
경상남도 고성군,48820,48,122
경상남도 남해군,48840,48,130
경상남도 하동군,48850,48,195
경상남도 산청군,48860,48,83
경상남도 함양군,48870,48,55
경상남도 거창군,48880,48,74
경상남도 합천군,48890,48,75
