SIDONAME,ZSCODE,ZCODE,COUNT
전라남도,46000,46,0
전라남도 목포시,46110,46,632
전라남도 여수시,46130,46,703
전라남도 순천시,46150,46,1022
전라남도 나주시,46170,46,733
전라남도 광양시,46230,46,460
전라남도 담양군,46710,46,136
전라남도 곡성군,46720,46,76
전라남도 구례군,46730,46,63
전라남도 고흥군,46770,46,71
전라남도 보성군,46780,46,119
전라남도 화순군,46790,46,225
전라남도 장흥군,46800,46,76
전라남도 강진군,46810,46,82
전라남도 해남군,46820,46,185
전라남도 영암군,46830,46,169
전라남도 무안군,46840,46,309
전라남도 함평군,46860,46,69
전라남도 영광군,46870,46,144
전라남도 장성군,46880,46,115
전라남도 완도군,46890,46,73
전라남도 진도군,46900,46,31
전라남도 신안군,46910,46,37
