SIDONAME,ZSCODE,ZCODE,COUNT
서울특별시,11000,11,0
서울특별시 종로구,11110,11,676
서울특별시 중구,11140,11,925
서울특별시 용산구,11170,11,867
서울특별시 성동구,11200,11,1862
서울특별시 광진구,11215,11,617
서울특별시 동대문구,11230,11,943
서울특별시 중랑구,11260,11,1395
서울특별시 성북구,11290,11,1722
서울특별시 강북구,11305,11,632
서울특별시 도봉구,11320,11,785
서울특별시 노원구,11350,11,1508
서울특별시 은평구,11380,11,1286
서울특별시 서대문구,11410,11,890
서울특별시 마포구,11440,11,1523
서울특별시 양천구,11470,11,969
서울특별시 강서구,11500,11,1813
서울특별시 구로구,11530,11,1564
서울특별시 금천구,11545,11,1002
서울특별시 영등포구,11560,11,1352
서울특별시 동작구,11590,11,1166
서울특별시 관악구,11620,11,666
서울특별시 서초구,11650,11,2213
서울특별시 강남구,11680,11,2485
서울특별시 송파구,11710,11,2241
서울특별시 강동구,11740,11,1329
