,RESULT,NAME_LONG
0,11000,서울특별시
1,11110,서울특별시 종로구
2,11140,서울특별시 중구
3,11170,서울특별시 용산구
4,11200,서울특별시 성동구
5,11215,서울특별시 광진구
6,11230,서울특별시 동대문구
7,11260,서울특별시 중랑구
8,11290,서울특별시 성북구
9,11305,서울특별시 강북구
10,11320,서울특별시 도봉구
11,11350,서울특별시 노원구
12,11380,서울특별시 은평구
13,11410,서울특별시 서대문구
14,11440,서울특별시 마포구
15,11470,서울특별시 양천구
16,11500,서울특별시 강서구
17,11530,서울특별시 구로구
18,11545,서울특별시 금천구
19,11560,서울특별시 영등포구
20,11590,서울특별시 동작구
21,11620,서울특별시 관악구
22,11650,서울특별시 서초구
23,11680,서울특별시 강남구
24,11710,서울특별시 송파구
25,11740,서울특별시 강동구
26,26000,부산광역시
27,26110,부산광역시 중구
28,26140,부산광역시 서구
29,26170,부산광역시 동구
30,26200,부산광역시 영도구
31,26230,부산광역시 부산진구
32,26260,부산광역시 동래구
33,26290,부산광역시 남구
34,26320,부산광역시 북구
35,26350,부산광역시 해운대구
36,26380,부산광역시 사하구
37,26410,부산광역시 금정구
38,26440,부산광역시 강서구
39,26470,부산광역시 연제구
40,26500,부산광역시 수영구
41,26530,부산광역시 사상구
42,26710,부산광역시 기장군
43,27000,대구광역시
44,27110,대구광역시 중구
45,27140,대구광역시 동구
46,27170,대구광역시 서구
47,27200,대구광역시 남구
48,27230,대구광역시 북구
49,27260,대구광역시 수성구
50,27290,대구광역시 달서구
51,27710,대구광역시 달성군
52,28000,인천광역시
53,28110,인천광역시 중구
54,28140,인천광역시 동구
55,28177,인천광역시 미추홀구
56,28185,인천광역시 연수구
57,28200,인천광역시 남동구
58,28237,인천광역시 부평구
59,28245,인천광역시 계양구
60,28260,인천광역시 서구
61,28710,인천광역시 강화군
62,28720,인천광역시 옹진군
63,29000,광주광역시
64,29110,광주광역시 동구
65,29140,광주광역시 서구
66,29155,광주광역시 남구
67,29170,광주광역시 북구
68,29200,광주광역시 광산구
69,30000,대전광역시
70,30110,대전광역시 동구
71,30140,대전광역시 중구
72,30170,대전광역시 서구
73,30200,대전광역시 유성구
74,30230,대전광역시 대덕구
75,31000,울산광역시
76,31110,울산광역시 중구
77,31140,울산광역시 남구
78,31170,울산광역시 동구
79,31200,울산광역시 북구
80,31710,울산광역시 울주군
81,36110,세종특별자치시
82,41000,경기도
83,41110,경기도 수원시
84,41111,경기도 수원시 장안구
85,41113,경기도 수원시 권선구
86,41115,경기도 수원시 팔달구
87,41117,경기도 수원시 영통구
88,41130,경기도 성남시
89,41131,경기도 성남시 수정구
90,41133,경기도 성남시 중원구
91,41135,경기도 성남시 분당구
92,41150,경기도 의정부시
93,41170,경기도 안양시
94,41171,경기도 안양시 만안구
95,41173,경기도 안양시 동안구
96,41190,경기도 부천시
97,41210,경기도 광명시
98,41220,경기도 평택시
99,41250,경기도 동두천시
100,41270,경기도 안산시
101,41271,경기도 안산시 상록구
102,41273,경기도 안산시 단원구
103,41280,경기도 고양시
104,41281,경기도 고양시 덕양구
105,41285,경기도 고양시 일산동구
106,41287,경기도 고양시 일산서구
107,41290,경기도 과천시
108,41310,경기도 구리시
109,41360,경기도 남양주시
110,41370,경기도 오산시
111,41390,경기도 시흥시
112,41410,경기도 군포시
113,41430,경기도 의왕시
114,41450,경기도 하남시
115,41460,경기도 용인시
116,41461,경기도 용인시 처인구
117,41463,경기도 용인시 기흥구
118,41465,경기도 용인시 수지구
119,41480,경기도 파주시
120,41500,경기도 이천시
121,41550,경기도 안성시
122,41570,경기도 김포시
123,41590,경기도 화성시
124,41610,경기도 광주시
125,41630,경기도 양주시
126,41650,경기도 포천시
127,41670,경기도 여주시
128,41800,경기도 연천군
129,41820,경기도 가평군
130,41830,경기도 양평군
131,42000,강원도
132,42110,강원도 춘천시
133,42130,강원도 원주시
134,42150,강원도 강릉시
135,42170,강원도 동해시
136,42190,강원도 태백시
137,42210,강원도 속초시
138,42230,강원도 삼척시
139,42720,강원도 홍천군
140,42730,강원도 횡성군
141,42750,강원도 영월군
142,42760,강원도 평창군
143,42770,강원도 정선군
144,42780,강원도 철원군
145,42790,강원도 화천군
146,42800,강원도 양구군
147,42810,강원도 인제군
148,42820,강원도 고성군
149,42830,강원도 양양군
150,43000,충청북도
151,43110,충청북도 청주시
152,43111,충청북도 청주시 상당구
153,43112,충청북도 청주시 서원구
154,43113,충청북도 청주시 흥덕구
155,43114,충청북도 청주시 청원구
156,43130,충청북도 충주시
157,43150,충청북도 제천시
158,43720,충청북도 보은군
159,43730,충청북도 옥천군
160,43740,충청북도 영동군
161,43745,충청북도 증평군
162,43750,충청북도 진천군
163,43760,충청북도 괴산군
164,43770,충청북도 음성군
165,43800,충청북도 단양군
166,44000,충청남도
167,44130,충청남도 천안시
168,44131,충청남도 천안시 동남구
169,44133,충청남도 천안시 서북구
170,44150,충청남도 공주시
171,44180,충청남도 보령시
172,44200,충청남도 아산시
173,44210,충청남도 서산시
174,44230,충청남도 논산시
175,44250,충청남도 계룡시
176,44270,충청남도 당진시
177,44710,충청남도 금산군
178,44760,충청남도 부여군
179,44770,충청남도 서천군
180,44790,충청남도 청양군
181,44800,충청남도 홍성군
182,44810,충청남도 예산군
183,44825,충청남도 태안군
184,45000,전라북도
185,45110,전라북도 전주시
186,45111,전라북도 전주시 완산구
187,45113,전라북도 전주시 덕진구
188,45130,전라북도 군산시
189,45140,전라북도 익산시
190,45180,전라북도 정읍시
191,45190,전라북도 남원시
192,45210,전라북도 김제시
193,45710,전라북도 완주군
194,45720,전라북도 진안군
195,45730,전라북도 무주군
196,45740,전라북도 장수군
197,45750,전라북도 임실군
198,45770,전라북도 순창군
199,45790,전라북도 고창군
200,45800,전라북도 부안군
201,46000,전라남도
202,46110,전라남도 목포시
203,46130,전라남도 여수시
204,46150,전라남도 순천시
205,46170,전라남도 나주시
206,46230,전라남도 광양시
207,46710,전라남도 담양군
208,46720,전라남도 곡성군
209,46730,전라남도 구례군
210,46770,전라남도 고흥군
211,46780,전라남도 보성군
212,46790,전라남도 화순군
213,46800,전라남도 장흥군
214,46810,전라남도 강진군
215,46820,전라남도 해남군
216,46830,전라남도 영암군
217,46840,전라남도 무안군
218,46860,전라남도 함평군
219,46870,전라남도 영광군
220,46880,전라남도 장성군
221,46890,전라남도 완도군
222,46900,전라남도 진도군
223,46910,전라남도 신안군
224,47000,경상북도
225,47110,경상북도 포항시
226,47111,경상북도 포항시 남구
227,47113,경상북도 포항시 북구
228,47130,경상북도 경주시
229,47150,경상북도 김천시
230,47170,경상북도 안동시
231,47190,경상북도 구미시
232,47210,경상북도 영주시
233,47230,경상북도 영천시
234,47250,경상북도 상주시
235,47280,경상북도 문경시
236,47290,경상북도 경산시
237,47720,경상북도 군위군
238,47730,경상북도 의성군
239,47750,경상북도 청송군
240,47760,경상북도 영양군
241,47770,경상북도 영덕군
242,47820,경상북도 청도군
243,47830,경상북도 고령군
244,47840,경상북도 성주군
245,47850,경상북도 칠곡군
246,47900,경상북도 예천군
247,47920,경상북도 봉화군
248,47930,경상북도 울진군
249,47940,경상북도 울릉군
250,48000,경상남도
251,48120,경상남도 창원시
252,48121,경상남도 창원시 의창구
253,48123,경상남도 창원시 성산구
254,48125,경상남도 창원시 마산합포구
255,48127,경상남도 창원시 마산회원구
256,48129,경상남도 창원시 진해구
257,48170,경상남도 진주시
258,48220,경상남도 통영시
259,48240,경상남도 사천시
260,48250,경상남도 김해시
261,48270,경상남도 밀양시
262,48310,경상남도 거제시
263,48330,경상남도 양산시
264,48720,경상남도 의령군
265,48730,경상남도 함안군
266,48740,경상남도 창녕군
267,48820,경상남도 고성군
268,48840,경상남도 남해군
269,48850,경상남도 하동군
270,48860,경상남도 산청군
271,48870,경상남도 함양군
272,48880,경상남도 거창군
273,48890,경상남도 합천군
274,50000,제주특별자치도
275,50110,제주특별자치도 제주시
276,50130,제주특별자치도 서귀포시
